Posicao;Codigo;Total;IPTS (%);Energia Injetada;Perda Propria
abr/22;MAZ  0101;0;0;0;0
abr/22;MAZ  0100;0;0;0;0
abr/22;EMB  0115;259,661;5,749;4.516,51;63,697
abr/22;EMB  0114;202,213;5,607;3.606,63;66,643
abr/22;EMB  0113;149,021;5,267;2.829,58;46,794
abr/22;EMB  0112;176,291;5,594;3.151,49;23,234
abr/22;EMB  0111;35,505;4,329;820,24;1,555
abr/22;EMB  0110;89,001;4,425;2.011,16;16,81
abr/22;EMB  0109;361,547;6,182;5.848,47;118,237
abr/22;EMB  0108;135,093;4,713;2.866,51;36,904
abr/22;EMB  0107;395,22;7,452;5.303,57;211,761
abr/22;EMB  0106;288,15;6,038;4.772,32;151,966
abr/22;EMB  0105;147,716;4,857;3.041,06;38,744
abr/22;EMB  0104;97,476;5,207;1.871,85;13,71
abr/22;EMB  0103;70,347;4,255;1.653,47;11,194
abr/22;EMB  0102;201,367;5,986;3.363,95;65,146
abr/22;EMB  0101;0;0;0;0
abr/22;EMB  0100;0;0;0;0
mai/22;EMB  0115;258,683;5,664;4.567,22;63,877
mai/22;EMB  0114;194,394;5,41;3.593,52;63,214
mai/22;EMB  0113;137,229;4,873;2.816,09;45,295
mai/22;EMB  0112;167,064;5,323;3.138,24;22,582
mai/22;EMB  0111;35,603;4,3;828,056;1,506
mai/22;EMB  0110;93,252;4,526;2.060,50;17,872
mai/22;EMB  0109;361,766;6,175;5.858,87;119,437
mai/22;EMB  0108;135,489;4,695;2.885,68;36,559
mai/22;EMB  0107;344,797;6,686;5.157,19;181,914
mai/22;EMB  0106;306,647;6,11;5.018,51;166,451
mai/22;EMB  0105;146,937;4,887;3.006,77;36,713
mai/22;EMB  0104;104,992;5,422;1.936,36;14,558
mai/22;EMB  0103;76,091;4,316;1.762,87;12,478
mai/22;EMB  0102;203,17;6,024;3.372,78;64,903
mai/22;EMB  0101;0;0;0;0
mai/22;EMB  0100;0;0;0;0
mai/22;MAZ  0115;128,425;4,126;3.112,75;22,257
mai/22;MAZ  0114;111,472;4,187;2.662,17;18,615
mai/22;MAZ  0113;148,529;4,807;3.090,16;37,98
mai/22;MAZ  0112;44,937;3,771;1.191,72;4,489
mai/22;MAZ  0111;136,229;4,37;3.117,26;22,043
mai/22;MAZ  0110;141,383;5,122;2.760,24;19,228
mai/22;MAZ  0109;333,073;7,504;4.438,59;151,129
mai/22;MAZ  0108;146,083;5,185;2.817,18;35,73
mai/22;MAZ  0107;192,475;5,756;3.343,98;73,903
mai/22;MAZ  0106;345,934;6,883;5.025,75;159,369
mai/22;MAZ  0105;180,976;5,019;3.605,53;32,007
mai/22;MAZ  0104;96,006;4,45;2.157,61;16,482
mai/22;MAZ  0103;134,751;4,96;2.716,67;14,186
mai/22;MAZ  0102;166,022;3,972;4.179,68;29,593
mai/22;MAZ  0101;0;0;0;0
mai/22;MAZ  0100;0;0;0;0
